simplified,pinyin,traditional,pos,classifier,definition,source
牌子,pái zi,牌子,n,,brand,new-HSK3
派,pài,派,"v, n, q",,clique,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,school,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,group,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,faction,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,to dispatch,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,to send,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,to assign,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,to appoint,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,pi (Greek letter Ππ),"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,the circular ratio pi = 3.1415926,"old-HSK5, new-HSK3"
派,pài,派,"v, n, q",,(loanword) pie,"old-HSK5, new-HSK3"
判断,pàn duàn,判斷,"v, vn, n",,to judge,new-HSK3
判断,pàn duàn,判斷,"v, vn, n",,to determine,new-HSK3
判断,pàn duàn,判斷,"v, vn, n",,judgment,new-HSK3
胖,pán,胖,a,,healthy,new-HSK3
胖,pán,胖,a,,at ease,new-HSK3
胖,pàng,胖,a,,fat,new-HSK3
胖,pàng,胖,a,,plump,new-HSK3
跑步,pǎo bù,跑步,v,,to run,new-HSK3
跑步,pǎo bù,跑步,v,,to jog,new-HSK3
跑步,pǎo bù,跑步,v,,(military) to march at the double,new-HSK3
配,pèi,配,v,,to join,new-HSK3
配,pèi,配,v,,to fit,new-HSK3
配,pèi,配,v,,to mate,new-HSK3
配,pèi,配,v,,to mix,new-HSK3
配,pèi,配,v,,to match,new-HSK3
配,pèi,配,v,,to deserve,new-HSK3
配,pèi,配,v,,to make up (a prescription),new-HSK3
配,pèi,配,v,,to allocate,new-HSK3
配合,pèi hé,配合,"v, vn",,matching,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,fitting in with,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,compatible with,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to correspond,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to fit,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to conform to,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,rapport,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to coordinate with,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to act in concert with,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to cooperate,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to become man and wife,"old-HSK5, new-HSK3"
配合,pèi hé,配合,"v, vn",,to combine parts of machine,"old-HSK5, new-HSK3"
批评,pī píng,批評,"v, vn","次, 番",to criticize; criticism,new-HSK3
批准,pī zhǔn,批准,"v, vn",,to approve; to ratify,"old-HSK5, new-HSK3"
皮,Pí,皮,"n, a",,surname Pi,new-HSK3
皮,pí,皮,"n, a",张,leather,new-HSK3
皮,pí,皮,"n, a",张,skin,new-HSK3
皮,pí,皮,"n, a",张,fur,new-HSK3
皮,pí,皮,"n, a",张,pico- (one trillionth),new-HSK3
皮,pí,皮,"n, a",张,naughty,new-HSK3
皮包,pí bāo,皮包,n,,handbag,new-HSK3
皮包,pí bāo,皮包,n,,briefcase,new-HSK3
啤酒,pí jiǔ,啤酒,n,"杯, 瓶, 罐, 桶, 缸",beer (loanword),new-HSK3
票价,piào jià,票價,n,,ticket price; fare; admission fee,new-HSK3
评价,píng jià,評價,"v, vn",,to evaluate,"old-HSK5, new-HSK3"
评价,píng jià,評價,"v, vn",,to assess,"old-HSK5, new-HSK3"
苹果,píng guǒ,蘋果,n,"个, 颗",apple,new-HSK3
破,pò,破,"v, a",,broken,new-HSK3
破,pò,破,"v, a",,damaged,new-HSK3
破,pò,破,"v, a",,worn out,new-HSK3
破,pò,破,"v, a",,lousy,new-HSK3
破,pò,破,"v, a",,rotten,new-HSK3
破,pò,破,"v, a",,"to break, split or cleave",new-HSK3
破,pò,破,"v, a",,to get rid of,new-HSK3
破,pò,破,"v, a",,to destroy,new-HSK3
破,pò,破,"v, a",,to break with,new-HSK3
破,pò,破,"v, a",,to defeat,new-HSK3
破,pò,破,"v, a",,to capture (a city etc),new-HSK3
破,pò,破,"v, a",,to expose the truth of,new-HSK3
破坏,pò huài,破壞,"v, vn",,destruction,"old-HSK5, new-HSK3"
破坏,pò huài,破壞,"v, vn",,damage,"old-HSK5, new-HSK3"
破坏,pò huài,破壞,"v, vn",,to wreck,"old-HSK5, new-HSK3"
破坏,pò huài,破壞,"v, vn",,to break,"old-HSK5, new-HSK3"
破坏,pò huài,破壞,"v, vn",,to destroy,"old-HSK5, new-HSK3"
普遍,pǔ biàn,普遍,"a, ad",,universal,new-HSK3
普遍,pǔ biàn,普遍,"a, ad",,general,new-HSK3
普遍,pǔ biàn,普遍,"a, ad",,widespread,new-HSK3
普遍,pǔ biàn,普遍,"a, ad",,common,new-HSK3
普及,pǔ jí,普及,"v, vn",,to spread extensively,new-HSK3
普及,pǔ jí,普及,"v, vn",,to generalize,new-HSK3
普及,pǔ jí,普及,"v, vn",,widespread,new-HSK3
普及,pǔ jí,普及,"v, vn",,popular,new-HSK3
普及,pǔ jí,普及,"v, vn",,universal,new-HSK3
普及,pǔ jí,普及,"v, vn",,ubiquitous,new-HSK3
普及,pǔ jí,普及,"v, vn",,pervasive,new-HSK3
期,qī,朞,"qv, g",,variant of 期,new-HSK3
期,qī,朞,"qv, g",,period,new-HSK3
期,qī,朞,"qv, g",,cycle,new-HSK3
期,qī,期,"qv, g",,a period of time,new-HSK3
期,qī,期,"qv, g",,phase,new-HSK3
期,qī,期,"qv, g",,stage,new-HSK3
期,qī,期,"qv, g",,"classifier for issues of a periodical, courses of study",new-HSK3
期,qī,期,"qv, g",,time,new-HSK3
期,qī,期,"qv, g",,term,new-HSK3
期,qī,期,"qv, g",,period,new-HSK3
期,qī,期,"qv, g",,to hope,new-HSK3
期,qī,期,"qv, g",,Taiwan pr. [qí],new-HSK3
齐,Qí,齊,"a, d, v, nr, tg, b",,(name of states and dynasties at several different periods),new-HSK3
齐,Qí,齊,"a, d, v, nr, tg, b",,surname Qi,new-HSK3
齐,qí,齊,"a, d, v, nr, tg, b",,neat,new-HSK3
齐,qí,齊,"a, d, v, nr, tg, b",,even,new-HSK3
齐,qí,齊,"a, d, v, nr, tg, b",,level with,new-HSK3
齐,qí,齊,"a, d, v, nr, tg, b",,identical,new-HSK3
齐,qí,齊,"a, d, v, nr, tg, b",,simultaneous,new-HSK3
齐,qí,齊,"a, d, v, nr, tg, b",,all together,new-HSK3
齐,qí,齊,"a, d, v, nr, tg, b",,to even sth out,new-HSK3
其次,qí cì,其次,"c, r",,next,new-HSK3
其次,qí cì,其次,"c, r",,secondly,new-HSK3
其实,qí shí,其實,d,,actually; in fact; really,new-HSK3
奇怪,qí guài,奇怪,"v, a",,strange,new-HSK3
奇怪,qí guài,奇怪,"v, a",,odd,new-HSK3
奇怪,qí guài,奇怪,"v, a",,to marvel,new-HSK3
奇怪,qí guài,奇怪,"v, a",,to be baffled,new-HSK3
气候,qì hòu,氣候,n,种,(meteorology) climate,new-HSK3
气候,qì hòu,氣候,n,种,(fig.) climate; prevailing conditions (in human affairs),new-HSK3
千万,qiān wàn,千萬,"m, t",,ten million,new-HSK3
