simplified,pinyin,traditional,pos,classifier,definition,source
上来,shàng lái,上來,v,,to come up,new-HSK3
上来,shàng lái,上來,v,,to approach,new-HSK3
上来,shàng lái,上來,v,,(verb complement indicating success),new-HSK3
上面,shàng miàn,上面,f,,on top of,new-HSK3
上面,shàng miàn,上面,f,,above-mentioned,new-HSK3
上面,shàng miàn,上面,f,,also pr. [shàng mian],new-HSK3
上去,shàng qù,上去,v,,to go up,new-HSK3
上升,shàng shēng,上升,"v, vn",,to rise,new-HSK3
上升,shàng shēng,上升,"v, vn",,to go up,new-HSK3
上升,shàng shēng,上升,"v, vn",,to ascend,new-HSK3
上衣,shàng yī,上衣,n,件,jacket,new-HSK3
上衣,shàng yī,上衣,n,件,upper outer garment,new-HSK3
设备,shè bèi,設備,n,个,equipment; facilities; installations,"old-HSK5, new-HSK3"
设计,shè jì,設計,"v, vn",,to design; to plan,"old-HSK5, new-HSK3"
设计,shè jì,設計,"v, vn",,design; plan,"old-HSK5, new-HSK3"
设立,shè lì,設立,v,,to set up; to establish,new-HSK3
社会,shè huì,社會,n,个,society,new-HSK3
身份证,shēn fèn zhèng,身份證,n,,identity card,new-HSK3
身份证,shēn fèn zhèng,身份證,n,,ID,new-HSK3
深,shēn,㴱,"a, d, g, b",,old variant of 深,new-HSK3
深,shēn,深,"a, d, g, b",,deep (lit. and fig.),new-HSK3
深刻,shēn kè,深刻,"a, ad",,profound,"old-HSK5, new-HSK3"
深刻,shēn kè,深刻,"a, ad",,deep,"old-HSK5, new-HSK3"
深刻,shēn kè,深刻,"a, ad",,deep-going,"old-HSK5, new-HSK3"
深入,shēn rù,深入,"v, ad, a",,to penetrate deeply,new-HSK3
深入,shēn rù,深入,"v, ad, a",,thorough,new-HSK3
升,shēng,升,"v, q",,to ascend,"old-HSK5, new-HSK3"
